show_id,Type,Title,Director,Country,Date_added,Date_Added,Release_Year,Rating,Duration,Listed_In,IMDB_Rating,IMBD_Votes
s4180,Movie,Deliha,Hakan Algül,Turkey,06-02-2021,2/07/2020,2014,TV-MA,102 min,"Comedies, International Movies, Romantic Movies",4.5,4315
s4768,Movie,Just Say Yes,"Appie Boudellah, Aram van de Rest",Netherlands,5/14/2021,4/14/2020,2021,TV-MA,98 min,"Comedies, International Movies, Romantic Movies",4.5,1910
s4911,Movie,S.W.A.T.: Under Siege,Tony Giglio,United States,5/14/2021,3/27/2020,2017,R,89 min,"Action & Adventure, International Movies",4.5,3524
s338,Movie,Catch.er,Walter Taylaur,Nigeria,4/30/2021,6/29/2019,2017,TV-14,80 min,"Dramas, International Movies, Thrillers",4.5,30
s558,Movie,The Next Karate Kid,Christopher Cain,United States,12/16/2020,8/02/2019,1994,PG,107 min,"Action & Adventure, Dramas, Sports Movies",4.5,30138
s975,Movie,Last Flight to Abuja,Obi Emelonye,Nigeria,7/25/2020,7/01/2021,2012,TV-14,76 min,"Dramas, International Movies",4.5,347
s988,Movie,The Darkness,Greg McLean,United States,7/25/2020,10/21/2020,2016,PG-13,92 min,"Horror Movies, Thrillers",4.5,15848
s1359,Movie,Bangistan,Karan Anshuman,India,03-10-2020,1/15/2021,2015,TV-14,134 min,"Comedies, Dramas, International Movies",4.5,1273
s1494,Movie,Grego Rossello: Disculpe las molestias,Juani Libonatti,Argentina,12/27/2019,5/15/2020,2019,TV-MA,65 min,Stand-Up Comedy,4.5,25
s1525,Movie,The Influence,Dennis Rovira van Boekholt,Spain,12/15/2019,4/03/2019,2019,TV-MA,102 min,"Horror Movies, International Movies",4.5,3639
s1566,Movie,"Hello, Privilege. It's Me, Chelsea",Alex Stapleton,United States,12-01-2019,2/07/2018,2019,TV-MA,65 min,Documentaries,4.5,1972
s1825,Movie,The Super Parental Guardians,Joyce Bernal,Philippines,6/28/2019,7/15/2021,2016,TV-14,115 min,"Action & Adventure, Comedies, International Movies",4.5,204
s1828,Movie,Bombairiya,Pia Sukanya,United Arab Emirates,6/25/2019,8/01/2021,2018,TV-MA,108 min,"Comedies, Dramas, International Movies",4.5,418
s1998,Movie,5 Star Christmas,Marco Risi,Italy,3/15/2019,1/15/2020,2018,TV-14,96 min,"Comedies, International Movies",4.5,767
s2066,Movie,Edge of Fear,Bobby Roth,United States,2/15/2019,10/18/2019,2018,TV-MA,92 min,"Independent Movies, Thrillers",4.5,3124
s2095,Movie,Settai,R. Kannan,India,1/18/2019,2/11/2018,2013,TV-14,123 min,"Comedies, International Movies, Music & Musicals",4.5,515
s2638,Movie,Rodney Carrington: Here Comes the Truth,Brandon Jones,United States,3/14/2018,1/06/2018,2017,TV-MA,66 min,Stand-Up Comedy,4.5,164
s2831,Movie,English Babu Desi Mem,Praveen Nischol,India,9/29/2017,9/28/2020,1996,TV-14,163 min,"Comedies, Dramas, International Movies",4.5,2322
s4522,Movie,Roohi,Hardik Mehta,India,5/20/2021,1/16/2021,2021,TV-14,133 min,"Comedies, Horror Movies, International Movies",4.4,9912
s4530,Movie,Thunder Force,Ben Falcone,United States,5/19/2021,5/09/2020,2021,PG-13,107 min,"Action & Adventure, Comedies",4.4,40788
s360,Movie,The Girl on the Train,Ribhu Dasgupta,India,4/16/2021,10/21/2020,2021,TV-MA,120 min,"International Movies, Thrillers",4.4,14348
s5789,Movie,"My Teacher, My Obsession",Damián Romay,United States,04-09-2021,3/20/2020,2018,TV-14,86 min,Thrillers,4.4,2289
s373,Movie,The Misadventures of Hedi and Cokeman,Julien Royal,France,04-01-2021,5/30/2019,2021,TV-MA,99 min,"Comedies, International Movies",4.4,624
s6619,Movie,Friendsgiving,Nicol Paone,United States,3/16/2021,1/15/2021,2020,R,95 min,Comedies,4.4,2782
s397,Movie,Death of Me,Darren Lynn Bousman,United States,03-12-2021,5/15/2020,2020,R,94 min,Horror Movies,4.4,6041
s630,Movie,Good Game: The Beginning,Umut Aral,Turkey,11/17/2020,7/15/2021,2018,TV-14,115 min,"Dramas, International Movies, Sports Movies",4.4,1796
